ec50UM,ic50UM,aMax,actArea
9.12733296,7.70030403,-51.342403,0.6152
0.01782012,0.01496211,-95.004921,6.1963
0.02846274,0.03201506,-95.97023,5.2913
0.18445858,0.17662402,-96.716499,3.6682
0.0565079,0.04826415,-93.432625,4.8857
0.00609508,0.00658232,-91.671387,6.1947
0.00563061,0.01979742,-99.420532,5.1923
0.08244757,0.08327048,-87.183533,4.3234
2.86476255,3.0985055,-78.90992,1.6028
4.48683643,4.08344364,-93.649986,1.377
8.76796487,3.21072841,-93.252853,1.4968
0.59694469,8,-29.205141,0.4333
0.13476236,8,-9.77897,0.1292
1.39011133,1.57097769,-75.574554,1.6599
0.08756697,0.32875088,-52.874069,2.5589
0.00948886,0.00878127,-80.6353,5.2994
7.42318577,0.16328695,-81.893875,3.1822
8.31702015,1.3022784,-84.169502,2.2804
8.51123056,3.4525497,-86.584641,1.549
0.08929444,0.1450153,-55.427002,1.9626
0.02493497,0.02420986,-73.717606,4.1841
0.16216034,0.14059958,-90.504036,3.0253
4.0686698,4.39254665,-84.102631,0.7772
0.07521513,0.58657563,-76.253571,2.3488
8.93732806,4.9757967,-58.101414,1.2322
0.07192935,0.08816493,-85.953583,4.2024
0.10519745,0.47640684,-64.245583,2.2898
0.00526127,0.00301318,-88.322426,6.0801
0.05177769,0.05667815,-95.833839,4.4785
1.6409359,1.38553286,-94.234222,2.3994
2.61309052,1.72681856,-89.639053,1.8163
8.79033215,0.97257817,-90.321129,3.2097
2.6290884,8,-48.239426,0.6282
3.59512544,6.19686842,-53.096546,0.7837
0.25876713,0.22378528,-87.475929,2.2829
2.71645618,3.09412956,-76.907501,0.5917
0.02052523,0.02015986,-79.801178,2.9703
0.2388369,0.1757309,-115.882172,2.822
1.60206616,8,-35.165192,0.3966
0.01970833,0.01815827,-101.788437,4.6117
0.38033736,0.2887392,-99.830376,2.5049
0.00441376,0.00900531,-100.033402,4.7876
0.04383861,0.03919572,-117.898521,4.4314
0.12024604,0.09158436,-114.280548,4.1015
5.97197485,3.49502659,-101.55407,1.2766
8.01671356,8,-49.62294,0.3285
2.61145163,8,-23.626017,0.0742
0.26711214,0.2771529,-96.556114,3.466
2.17567611,2.75005317,-82.619255,1.2402
0.09941759,0.11050474,-83.717163,4.1514
0.07019395,0.07109749,-95.709518,4.399
0.1155647,0.1139788,-95.429749,4.2614
4.831985,3.27322865,-73.12088,1.4705
2.63700533,8,-29.485016,0.4165
8.82871724,8,-11.790432,0.1252
0.50803256,2.28473353,-54.601151,1.6623
8.50172435,0.84850526,-80.861809,2.7736
8.85748016,6.22281551,-56.93536,0.9955
0.09800521,0.13183688,-65.292213,3.9899
0.07971142,0.08008885,-97.699547,4.3211
2.2484448,4.47502661,-58.282738,1.7901
0.08546522,0.28656071,-55.257339,2.8006
0.01270289,0.09658244,-60.567951,3.7283
0.10902045,0.15639317,-96.024788,3.699
0.51737464,0.48700303,-92.129784,3.0246
2.22249818,8,-46.074062,0.6612
0.19771493,0.20943882,-94.679657,4.0457
0.02521388,0.02308929,-96.818871,5.8889
0.31241322,0.33130097,-93.93158,2.1997
5.18346931,0.0029521,-96.073318,7.0051
0.00620501,0.00730172,-95.281693,6.3121
0.00942144,0.00866495,-97.053513,6.526
0.01040253,8,-36.384373,1.7295
0.01170277,8,-94.715057,6.7188
1.10150862,1.19625437,-97.493797,2.4329
2.61401105,2.66447139,-95.390816,2.1035
3.13495302,2.59539056,-96.140854,2.0343
0.37950096,8,-35.055508,1.2336
8.80641659,6.93033838,-54.635471,1.0818
0.80500275,8,-32.782867,1.1325
8.91031535,7.28948975,-59.281418,1.1767
2.92917013,8,-27.77733,0.7632
5.82069397,6.94333887,-55.720371,1.0265
0.07066308,0.13391067,-77.29837,3.4708
0.06568749,0.06891139,-93.005791,4.5254
0.00967908,0.0059892,-90.988007,6.3544
0.04330965,0.04273129,-93.934639,4.8466
0.10322577,0.14791088,-75.475128,3.3988
0.03152782,0.03949915,-95.037239,4.9511
